year,Population,council,waste_pp,garbage_pp,recycle_pp,organic_pp,collect_type,amount,diversion_rate
2002,74164,Hobsons Bay City Council,0.385479208,0.267283588,0.087601262,0.030594358,aluminium_collect,131.49,0.306619963
2002,74164,Hobsons Bay City Council,0.385479208,0.267283588,0.087601262,0.030594358,steel_collect,361.81,0.306619963
2002,74164,Hobsons Bay City Council,0.385479208,0.267283588,0.087601262,0.030594358,paper_collect,3288.46,0.306619963
2002,74164,Hobsons Bay City Council,0.385479208,0.267283588,0.087601262,0.030594358,plastic_collect,670.6,0.306619963
2002,74164,Hobsons Bay City Council,0.385479208,0.267283588,0.087601262,0.030594358,total_glass_collect,1840.89,0.306619963
2002,18000,Horsham Rural City Council,0.323894444,0.288338889,0.035555556,0,total_garbage_collect,5190.1,0.109775133
2002,18000,Horsham Rural City Council,0.323894444,0.288338889,0.035555556,0,total_recycle_actual,593,0.109775133
2002,18000,Horsham Rural City Council,0.323894444,0.288338889,0.035555556,0,organic_collect,0,0.109775133
2002,18000,Horsham Rural City Council,0.323894444,0.288338889,0.035555556,0,aluminium_collect,8,0.109775133
2002,18000,Horsham Rural City Council,0.323894444,0.288338889,0.035555556,0,steel_collect,13,0.109775133
2002,18000,Horsham Rural City Council,0.323894444,0.288338889,0.035555556,0,paper_collect,305,0.109775133
2002,18000,Horsham Rural City Council,0.323894444,0.288338889,0.035555556,0,plastic_collect,28,0.109775133
2002,18000,Horsham Rural City Council,0.323894444,0.288338889,0.035555556,0,total_glass_collect,239,0.109775133
2002,143277,Hume City Council,0.310847519,0.267886681,0.042960838,0,total_garbage_collect,38382,0.138205504
2002,143277,Hume City Council,0.310847519,0.267886681,0.042960838,0,total_recycle_actual,6090.5,0.138205504
2002,143277,Hume City Council,0.310847519,0.267886681,0.042960838,0,organic_collect,0,0.138205504
2002,143277,Hume City Council,0.310847519,0.267886681,0.042960838,0,aluminium_collect,129.7,0.138205504
2002,143277,Hume City Council,0.310847519,0.267886681,0.042960838,0,steel_collect,194.5,0.138205504
2002,143277,Hume City Council,0.310847519,0.267886681,0.042960838,0,paper_collect,2945.4,0.138205504
